Status de venta,Fecha de venta,Nombre activo,Símbolo activo,Categoría activo,Rescate en dólares,Acciones vendidas
completada,2024-12-24,NVIDIA Corp,NVDA,stock,10,"0,070851637"
completada,2024-12-26,Advanced Micro Devices Inc,AMD,stock,10,"0,078845699"
completada,2025-01-03,Dell Technologies Inc,DELL,stock,10,"0,083963057"
completada,2025-01-03,NVIDIA Corp,NVDA,stock,10,"0,069502364"
completada,2025-01-06,Avis Budget Group Inc,CAR,stock,"9,96","0,118778953"
completada,2025-01-06,Advanced Micro Devices Inc,AMD,stock,12,"0,093457944"
completada,2025-01-06,Dell Technologies Inc,DELL,stock,"14,99","0,120899493"
completada,2025-01-06,NVIDIA Corp,NVDA,stock,12,"0,079176564"
completada,2025-01-07,Avis Budget Group Inc,CAR,stock,"9,98","0,115366867"
completada,2025-01-14,Tesla Inc,TSLA,stock,20,"0,04834538"
completada,2025-01-16,Avis Budget Group Inc,CAR,stock,"9,99","0,111333779"
completada,2025-01-17,Tesla Inc,TSLA,stock,10,"0,023220174"
completada,2025-01-21,Advanced Micro Devices Inc,AMD,stock,10,"0,081900082"
completada,2025-01-21,NVIDIA Corp,NVDA,stock,10,"0,070591558"
completada,2025-01-22,Dell Technologies Inc,DELL,stock,15,"0,128270909"
completada,2025-01-22,Advanced Micro Devices Inc,AMD,stock,10,"0,079827573"
completada,2025-01-23,NVIDIA Corp,NVDA,stock,10,"0,068278029"
completada,2025-01-29,Avis Budget Group Inc,CAR,stock,"9,99","0,106917567"
completada,2025-02-19,Dell Technologies Inc,DELL,stock,20,"0,16583748"
completada,2025-05-23,Avis Budget Group Inc,CAR,stock,"133,86","1,106260423"
completada,2025-06-11,NVIDIA Corp,NVDA,stock,"10,01","0,069333703"
completada,2025-06-16,Advanced Micro Devices Inc,AMD,stock,"9,98","0,078173859"
completada,2025-06-24,Advanced Micro Devices Inc,AMD,stock,"19,99","0,145836372"
completada,2025-06-26,NVIDIA Corp,NVDA,stock,"20,01","0,128439778"
completada,2025-06-26,Dell Technologies Inc,DELL,stock,"20,01","0,158415842"
completada,2025-06-26,Advanced Micro Devices Inc,AMD,stock,"19,98","0,139295166"
completada,2025-07-09,NVIDIA Corp,NVDA,stock,20,"0,122552774"
completada,2025-07-11,Advanced Micro Devices Inc,AMD,stock,10,"0,06809206"
completada,2025-07-15,Advanced Micro Devices Inc,AMD,stock,20,"0,128501671"
completada,2025-07-15,NVIDIA Corp,NVDA,stock,10,"0,058435108"
completada,2025-07-17,Dell Technologies Inc,DELL,stock,10,"0,080772182"
completada,2025-07-17,Advanced Micro Devices Inc,AMD,stock,10,"0,062589973"
completada,2025-07-18,Dell Technologies Inc,DELL,stock,"9,99","0,076190476"
completada,2025-07-23,Advanced Micro Devices Inc,AMD,stock,"10,01","0,063315183"
completada,2025-07-24,Dell Technologies Inc,DELL,stock,10,"0,077808901"
completada,2025-07-24,NVIDIA Corp,NVDA,stock,10,"0,057621942"
completada,2025-07-25,Advanced Micro Devices Inc,AMD,stock,"20,01","0,119925646"
completada,2025-07-25,Advanced Micro Devices Inc,AMD,stock,10,"0,059966419"
completada,2025-07-25,Dell Technologies Inc,DELL,stock,"10,01","0,076074553"
completada,2025-07-28,Advanced Micro Devices Inc,AMD,stock,10,"0,057680106"
completada,2025-07-29,Advanced Micro Devices Inc,AMD,stock,"10,01","0,056186088"
completada,2025-07-30,Dell Technologies Inc,DELL,stock,10,"0,074101519"
completada,2025-07-30,NVIDIA Corp,NVDA,stock,10,"0,055716514"
completada,2025-08-01,Lam Research Corp,LRCX,stock,"9,95","0,103498241"
completada,2025-08-04,Advanced Micro Devices Inc,AMD,stock,10,"0,056915196"
completada,2025-08-05,Lam Research Corp,LRCX,stock,10,"0,101091791"
completada,2025-08-05,Dell Technologies Inc,DELL,stock,"10,03","0,076350449"
completada,2025-08-06,Tesla Inc,TSLA,stock,11,"0,034695937"
completada,2025-08-07,Advanced Micro Devices Inc,AMD,stock,50,"0,29020837"
completada,2025-08-07,Dell Technologies Inc,DELL,stock,"49,98","0,381679389"
completada,2025-08-07,NVIDIA Corp,NVDA,stock,10,"0,054847114"
completada,2025-08-07,Lam Research Corp,LRCX,stock,15,"0,152889614"
completada,2025-08-08,Dell Technologies Inc,DELL,stock,"19,99","0,145565705"
completada,2025-08-08,Lam Research Corp,LRCX,stock,20,"0,195867202"
completada,2025-08-08,Tesla Inc,TSLA,stock,10,"0,030363758"
completada,2025-08-11,Advanced Micro Devices Inc,AMD,stock,10,"0,056609114"
completada,2025-08-12,Dell Technologies Inc,DELL,stock,"9,98","0,070974839"
completada,2025-08-12,Lam Research Corp,LRCX,stock,10,"0,095369796"
completada,2025-08-12,Tesla Inc,TSLA,stock,10,"0,02935392"
completada,2025-08-13,Advanced Micro Devices Inc,AMD,stock,"29,97","0,161777394"
completada,2025-08-14,Lam Research Corp,LRCX,stock,10,"0,09318796"
completada,2025-08-21,Advanced Micro Devices Inc,AMD,stock,10,"0,061207002"
completada,2025-08-21,NVIDIA Corp,NVDA,stock,10,"0,057214784"
completada,2025-08-22,Advanced Micro Devices Inc,AMD,stock,10,"0,059513182"
completada,2025-08-22,Lam Research Corp,LRCX,stock,10,"0,098260784"
completada,2025-08-22,Tesla Inc,TSLA,stock,"20,02","0,059626737"
completada,2025-08-25,Dell Technologies Inc,DELL,stock,"9,99","0,076242757"
completada,2025-08-25,NVIDIA Corp,NVDA,stock,"9,99","0,055017606"
completada,2025-08-25,Tesla Inc,TSLA,stock,"10,03","0,028810141"
completada,2025-08-28,Advanced Micro Devices Inc,AMD,stock,"9,99","0,059530897"
completada,2025-08-28,Dell Technologies Inc,DELL,stock,"9,98","0,074283223"
completada,2025-08-28,Lam Research Corp,LRCX,stock,10,"0,095978501"
completada,2025-09-11,Lam Research Corp,LRCX,stock,"61,51","0,537514217"
completada,2025-09-11,Tesla Inc,TSLA,stock,10,"0,027767751"
completada,2025-09-12,Tesla Inc,TSLA,stock,"10,01","0,026580899"
completada,2025-09-12,Tesla Inc,TSLA,stock,"10,01","0,025676631"
completada,2025-09-12,Advanced Micro Devices Inc,AMD,stock,10,"0,062723452"
completada,2025-09-15,Tesla Inc,TSLA,stock,20,"0,047655356"
completada,2025-09-17,Dell Technologies Inc,DELL,stock,10,"0,076728305"
completada,2025-09-18,Dell Technologies Inc,DELL,stock,"9,99","0,075035642"
completada,2025-09-18,Tesla Inc,TSLA,stock,13,"0,030368155"
completada,2025-09-19,Advanced Micro Devices Inc,AMD,stock,10,"0,063339245"
completada,2025-09-19,NVIDIA Corp,NVDA,stock,"9,99","0,056358667"
completada,2025-09-22,Tesla Inc,TSLA,stock,10,"0,022642364"
completada,2025-09-22,Advanced Micro Devices Inc,AMD,stock,10,"0,061789422"
completada,2025-09-22,Dell Technologies Inc,DELL,stock,10,"0,072883641"
completada,2025-09-22,NVIDIA Corp,NVDA,stock,10,"0,054537522"
completada,2025-10-01,Dell Technologies Inc,DELL,stock,"39,96","0,274480203"
completada,2025-10-01,NVIDIA Corp,NVDA,stock,10,"0,053563298"
completada,2025-10-01,Tesla Inc,TSLA,stock,15,"0,032962686"
completada,2025-10-02,Advanced Micro Devices Inc,AMD,stock,"20,01","0,118920205"
completada,2025-10-02,Dell Technologies Inc,DELL,stock,"17,99","0,120128137"
completada,2025-10-06,Advanced Micro Devices Inc,AMD,stock,"100,22","0,476848982"
completada,2025-10-06,Dell Technologies Inc,DELL,stock,"9,85","0,068022583"
completada,2025-10-06,Tesla Inc,TSLA,stock,15,"0,034051054"
completada,2025-10-08,Advanced Micro Devices Inc,AMD,stock,10,"0,04511821"
completada,2025-10-08,Dell Technologies Inc,DELL,stock,"29,98","0,183497462"
completada,2025-10-09,NVIDIA Corp,NVDA,stock,12,"0,06198187"
completada,2025-10-09,Advanced Micro Devices Inc,AMD,stock,8,"0,033730368"
completada,2025-10-13,Advanced Micro Devices Inc,AMD,stock,10,"0,045150804"
completada,2025-10-14,Advanced Micro Devices Inc,AMD,stock,10,"0,044557323"
completada,2025-10-15,Dell Technologies Inc,DELL,stock,"9,99","0,064559863"
completada,2025-10-15,Advanced Micro Devices Inc,AMD,stock,10,"0,042707666"
completada,2025-10-15,Advanced Micro Devices Inc,AMD,stock,"8,01","0,034148632"
completada,2025-10-15,Tesla Inc,TSLA,stock,10,"0,022742262"
completada,2025-10-16,Advanced Micro Devices Inc,AMD,stock,10,"0,041970956"
completada,2025-10-20,Advanced Micro Devices Inc,AMD,stock,10,"0,0415835"
completada,2025-10-20,Tesla Inc,TSLA,stock,"12,01","0,026807855"
completada,2025-10-22,Dell Technologies Inc,DELL,stock,"9,99","0,06643194"
completada,2025-10-23,Dell Technologies Inc,DELL,stock,"9,99","0,065798131"
completada,2025-10-24,Advanced Micro Devices Inc,AMD,stock,"35,04","0,140331182"
completada,2025-10-24,Dell Technologies Inc,DELL,stock,"19,99","0,126194908"
completada,2025-10-24,Tesla Inc,TSLA,stock,"17,01","0,03871291"
completada,2025-10-27,Advanced Micro Devices Inc,AMD,stock,"9,01","0,035242981"
completada,2025-10-27,NVIDIA Corp,NVDA,stock,36,"0,18873365"
completada,2025-10-28,Tesla Inc,TSLA,stock,10,"0,021926939"
completada,2025-10-28,Advanced Micro Devices Inc,AMD,stock,"9,8","0,037425047"
completada,2025-10-28,Dell Technologies Inc,DELL,stock,10,"0,061625686"
completada,2025-10-28,Dell Technologies Inc,DELL,stock,"10,02","0,060078102"
completada,2025-10-28,NVIDIA Corp,NVDA,stock,20,"0,099270363"
completada,2025-10-29,NVIDIA Corp,NVDA,stock,10,"0,047539814"
completada,2025-11-03,Dell Technologies Inc,DELL,stock,"9,8","0,059683676"
completada,2025-11-03,Tesla Inc,TSLA,stock,15,"0,031994539"
completada,2025-11-05,Advanced Micro Devices Inc,AMD,stock,10,"0,039004602"
completada,2025-11-06,Dell Technologies Inc,DELL,stock,"17,99","0,117562536"
completada,2025-11-06,Tesla Inc,TSLA,stock,40,"0,087009484"
completada,2025-11-10,Advanced Micro Devices Inc,AMD,stock,"60,01","0,244718166"
completada,2025-11-10,NVIDIA Corp,NVDA,stock,"70,01","0,355375047"
completada,2025-11-10,Tesla Inc,TSLA,stock,45,"0,100592377"
completada,2025-11-10,SPDR Gold Shares,GLD,etf,"12,81","0,033918965"
completada,2025-11-12,Advanced Micro Devices Inc,AMD,stock,"45,98","0,179838536"
completada,2025-11-12,Dell Technologies Inc,DELL,stock,"24,94","0,178204708"
completada,2025-11-12,Dell Technologies Inc,DELL,stock,"20,01","0,1393534"
completada,2025-11-17,Tesla Inc,TSLA,stock,"47,99","0,115370748"
completada,2025-11-20,NVIDIA Corp,NVDA,stock,"26,02","0,133258162"
completada,2025-11-20,SPDR Gold Shares,GLD,etf,"37,99","0,100980574"
completada,2025-11-20,Tesla Inc,TSLA,stock,"20,01","0,047115361"
completada,2025-11-24,Dell Technologies Inc,DELL,stock,"19,95","0,155303618"
completada,2025-11-26,Dell Technologies Inc,DELL,stock,"42,05","0,313245823"
completada,2025-12-03,Tesla Inc,TSLA,stock,"23,96","0,054984077"
completada,2025-12-03,Tesla Inc,TSLA,stock,"19,99","0,044688743"
completada,2025-12-04,Dell Technologies Inc,DELL,stock,20,"0,144843569"
completada,2025-12-04,NVIDIA Corp,NVDA,stock,20,"0,109164347"
completada,2025-12-05,Advanced Micro Devices Inc,AMD,stock,"20,02","0,091440844"
completada,2025-12-09,Advanced Micro Devices Inc,AMD,stock,"20,01","0,089541547"
completada,2025-12-12,Advanced Micro Devices Inc,AMD,stock,"28,01","0,127556831"
completada,2025-12-12,Tesla Inc,TSLA,stock,"23,99","0,051861615"
