Status de compra,Fecha de compra,Nombre activo,Símbolo activo,Categoría activo,Aporte en dólares,Acciones compradas
completada,2024-04-09,Avis Budget Group Inc,CAR,stock,"10,00","0,081041217"
completada,2024-04-10,Avis Budget Group Inc,CAR,stock,"10,00","0,083661005"
completada,2024-04-10,Tesla Inc,TSLA,stock,"10,00","0,058268267"
completada,2024-04-10,Advanced Micro Devices Inc,AMD,stock,"10,00","0,060272189"
completada,2024-04-11,SPDR Gold Shares,GLD,etf,"10,70","0,049325121"
completada,2024-04-12,Advanced Micro Devices Inc,AMD,stock,"10,00","0,061044098"
completada,2024-04-12,Dell Technologies Inc,DELL,stock,"10,00","0,082479668"
completada,2024-04-12,Amazon.com Inc,AMZN,stock,"10,00","0,053445069"
completada,2024-04-12,Amazon.com Inc,AMZN,stock,"10,00","0,053608954"
completada,2024-04-12,Apple Inc,AAPL,stock,"10,00","0,056883468"
completada,2024-04-12,Dell Technologies Inc,DELL,stock,"10,00","0,084023728"
completada,2024-04-12,Avis Budget Group Inc,CAR,stock,"10,00","0,085260214"
completada,2024-04-12,Dell Technologies Inc,DELL,stock,"10,00","0,084722787"
completada,2024-04-12,Tesla Inc,TSLA,stock,"10,00","0,058402345"
completada,2024-04-12,NVIDIA Corp,NVDA,stock,"10,00","0,011400012"
completada,2024-04-12,Avis Budget Group Inc,CAR,stock,"10,00","0,086776931"
completada,2024-04-15,Tesla Inc,TSLA,stock,"10,00","0,059944132"
completada,2024-04-15,Meta Platforms Inc,META,stock,"10,00","0,0196983"
completada,2024-04-15,Avis Budget Group Inc,CAR,stock,"10,00","0,088578666"
completada,2024-04-15,NVIDIA Corp,NVDA,stock,"10,00","0,011384127"
completada,2024-04-15,Advanced Micro Devices Inc,AMD,stock,"10,00","0,062514065"
completada,2024-04-15,Tesla Inc,TSLA,stock,"10,00","0,061378311"
completada,2024-04-16,Tesla Inc,TSLA,stock,"10,00","0,064601152"
completada,2024-04-17,Apple Inc,AAPL,stock,"10,00","0,058769599"
completada,2024-04-24,NVIDIA Corp,NVDA,stock,"20,00","0,024177014"
completada,2024-04-25,Meta Platforms Inc,META,stock,"10,00","0,022617065"
completada,2024-04-26,Advanced Micro Devices Inc,AMD,stock,"10,00","0,063577641"
